"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.58","0.51","","","0.52","","","0.45","","0.56","","0.52","","0.88","","1.04","","1.215","","1.285","","1.47","","1.375","","0.95","","","","","",
"Afghanistan","AFG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","0.53","","0.68","","1.05","","1.15","","1.28","","1.07","","0.7","","","","","",
"Africa Western and Central","AFW","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","0.85","","","0.795","","","0.68","","0.64","","0.685","","0.885","","1.03","","1.085","","1.19","","1.17","","1.245","","0.95","","","","","",
"Angola","AGO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.38","","0.3","","0.19","","0.39","","0.5","","0.53","","0.65","","0.63","","0.76","","0.97","","","","","",
"Albania","ALB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","","0.57","","0.8","","1.23","","1.44","","1.36","","1.46","","1.81","","1.76","","1.36","","","","","",
"Andorra","AND","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24","","1.49","","1.67","","1.51","","","","","","","",
"Arab World","ARB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","0.28","","0.295","","0.32","","0.37","","0.49","","0.55","","0.58","","0.825","","0.67","","","","","",
"United Arab Emirates","ARE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","","0.25","","0.29","","0.28","","0.37","","0.45","","0.47","","0.47","","0.47","","0.49","","","","","",
"Argentina","ARG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.79","","","0.6","","","0.94","","1.07","","0.63","","0.63","","0.62","","0.78","","0.96","","1.46","","1.52","","1.1","","","","","",
"Armenia","ARM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.55","","0.42","","0.68","","0.96","","1.08","","1.08","","1.25","","1.3","","0.77","","","","","",
"American Samoa","ASM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","","0.68","","0.97","","1.11","","0.99","","","","","","","","","","","",
"Australia","AUS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","","0.57","","0.5","","0.85","","0.93","","0.74","","1.27","","1.39","","1.23","","0.93","","","","","",
"Austria","AUT","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15","","","1.04","","0.82","","0.84","","1.32","","1.32","","1.37","","1.63","","1.81","","1.6","","1.2","","","","","",
"Azerbaijan","AZE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","","0.39","","0.37","","0.41","","0.46","","0.74","","0.75","","0.76","","1.21","","0.56","","","","","",
"Burundi","BDI","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.63","0.59","","","0.52","","","0.72","","1.01","","0.58","","1.04","","1.2","","1.39","","1.43","","1.47","","1.53","","1.21","","","","","",
"Belgium","BEL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.18","","","1.12","","0.96","","1.04","","1.5","","1.63","","1.5","","1.87","","2.09","","1.9","","1.43","","","","","",
"Benin","BEN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.63","0.62","","","0.36","","","0.39","","0.48","","0.54","","0.77","","0.81","","1.03","","1.04","","1.24","","1.03","","0.72","","","","","",
"Burkina Faso","BFA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03","1","","","0.81","","","0.68","","0.68","","0.83","","1.18","","1.15","","1.38","","1.44","","1.43","","1.4","","0.98","","","","","",
"Bangladesh","BGD","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36","","","0.47","","0.46","","0.52","","0.59","","0.79","","1.17","","1.09","","1.15","","1.3","","1.12","","","","","",
"Bulgaria","BGR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","","","0.66","","0.7","","0.68","","0.92","","1.05","","1.28","","1.51","","1.69","","1.49","","1.11","","","","","",
"Bahrain","BHR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","0.27","","0.27","","0.27","","0.21","","0.21","","0.21","","0.27","","","","0.43","","","","","",
"Bahamas, The","BHS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05","","0.92","","","","","",
"Bosnia and Herzegovina","BIH","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.66","","0.68","","0.74","","0.97","","1.34","","1.13","","1.42","","1.59","","1.51","","1.05","","","","","",
"Belarus","BLR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","0.55","","0.5","","0.62","","0.79","","1.33","","1.08","","0.88","","1.06","","0.6","","","","","",
"Belize","BLZ","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","1.27","","0.7","","1.13","","1.44","","1.37","","1.13","","","","","",
"Bermuda","BMU","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","0.38","","","0.53","","0.8","","0.69","","0.54","","0.54","","0.68","","0.7","","0.7","","0.7","","0.71","","","","","",
"Brazil","BRA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.53","","","0.63","","","0.8","","0.92","","0.55","","0.84","","1.26","","1.26","","1.58","","1.39","","1.27","","1.02","","","","","",
"Barbados","BRB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72","","0.95","","0.66","","0.82","","1.11","","1","","1.25","","","","1.81","","","","","","","",
"Brunei Darussalam","BRN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","0.31","","0.3","","0.32","","0.34","","0.38","","0.39","","0.43","","0.41","","0.37","","","","","",
"Bhutan","BTN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","","0.58","","","","0.78","","","","0.91","","1.08","","1.19","","1.04","","0.98","","","","","",
"Botswana","BWA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.41","","","0.38","","","0.31","","0.42","","0.41","","0.66","","0.78","","0.88","","0.93","","1.23","","1.06","","0.71","","","","","",
"Central African Republic","CAF","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33","1.28","","","0.82","","","0.81","","","","1","","1.29","","1.37","","1.44","","1.71","","1.71","","1.69","","1.41","","","","","",
"Canada","CAN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","","0.45","","","0.41","","0.58","","0.51","","0.68","","0.84","","0.76","","1.21","","1.32","","1.17","","0.81","","","","","",
"Central Europe and the Baltics","CEB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","","","0.61","","0.69","","0.74","","1.08","","1.26","","1.27","","1.59","","1.8","","1.58","","1.16","","","","","",
"Switzerland","CHE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02","","","0.86","","0.78","","0.89","","1.29","","1.27","","1.3","","1.66","","1.88","","1.74","","1.45","","","","","",
"Channel Islands","CHI","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","0.53","","","0.49","","0.64","","0.58","","0.85","","1.09","","0.95","","1.38","","1.56","","1.52","","1.03","","","","","",
"China","CHN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","","0.28","","0.4","","0.42","","0.48","","0.69","","0.99","","1.11","","1.37","","1.17","","0.96","","","","","",
"Cote d'Ivoire","CIV","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24","1.23","","","0.83","","","0.74","","0.76","","0.85","","1.14","","1.2","","1.33","","1.68","","1.51","","1.42","","0.93","","","","","",
"Cameroon","CMR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.69","","","0.68","","","0.64","","0.56","","0.68","","0.95","","1.14","","1.14","","1.2","","1.1","","1.24","","1.03","","","","","",
"Congo, Dem. Rep.","COD","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81","0.74","","","0.73","","","0.5","","1","","0.7","","0.92","","0.94","","1.23","","1.28","","1.48","","1.68","","1.49","","","","","",
"Congo, Rep.","COG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05","","","","","","","0.72","","0.53","","0.69","","0.87","","0.96","","0.81","","1.27","","1.15","","1.13","","0.97","","","","","",
"Colombia","COL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","","","0.35","","","0.24","","0.49","","0.44","","0.72","","0.98","","1.04","","1.41","","1.28","","1.08","","0.68","","","","","",
"Comoros","COM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","","","","","","","0.81","","0.59","","","","1.4","","","","1.84","","1.84","","2.3","","1.56","","1.02","","","","","",
"Costa Rica","CRI","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64","","0.78","","0.98","","1.24","","1.14","","1.57","","1.44","","0.98","","","","","",
"Caribbean small states","CSS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","","0.705","","0.94","","0.875","","1.02","","","","1.29","","","","","","","",
"Cuba","CUB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","0.9","","0.95","","1.1","","1.67","","1.72","","1.4","","1.4","","","","","","","",
"Curacao","CUW","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.78","","0.57","","0.83","","1.08","","1.25","","1.28","","1.47","","1.77","","1.61","","1.23","","","","","",
"Czech Republic","CZE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85","","","0.72","","0.77","","0.81","","1.08","","1.3","","1.37","","1.75","","1.93","","1.67","","1.17","","","","","",
"Germany","DEU","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","","","0.96","","0.91","","1.03","","1.46","","1.55","","1.56","","1.9","","1.96","","1.8","","1.39","","","","","",
"Djibouti","DJI","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.63","","1.75","","1.41","","1.32","","","","","",
"Dominica","DMA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.08","","","1.05","","1.01","","1.09","","1.51","","1.58","","1.54","","2","","2.02","","2.01","","1.55","","","","","",
"Dominican Republic","DOM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","0.4","","0.71","","0.49","","0.85","","1.03","","1.04","","1.23","","1.58","","1.41","","1.07","","","","","",
"Algeria","DZA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","0.2","","","0.4","","","0.31","","0.27","","0.22","","0.32","","0.32","","0.34","","0.32","","0.29","","0.27","","0.28","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","0.385","","","","0.54","","0.71","","0.915","","1.08","","1.31","","1.17","","0.82","","","","","",
"Early-demographic dividend","EAR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","0.53","","0.515","","0.625","","0.8","","0.87","","1.02","","1.24","","1.14","","0.91","","","","","",
"East Asia & Pacific","EAS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","0.445","","0.42","","0.68","","0.87","","0.94","","1.205","","1.36","","1.23","","0.9","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.55","","0.49","","0.705","","0.91","","1.11","","1.13","","1.42","","1.3","","0.83","","","","","",
"Europe & Central Asia","ECS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","","","0.67","","0.72","","0.8","","1.17","","1.29","","1.28","","1.59","","1.805","","1.6","","1.18","","","","","",
"Ecuador","ECU","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","","0.33","","","0.38","","0.31","","0.55","","0.54","","0.47","","0.51","","0.53","","0.58","","0.6","","0.61","","","","","",
"Egypt, Arab Rep.","EGY","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","0.3","","","0.29","","","0.29","","0.26","","0.19","","0.28","","0.3","","0.49","","0.48","","0.45","","0.88","","0.4","","","","","",
"Euro area","EMU","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.925","","","0.84","","0.75","","0.84","","1.21","","1.34","","1.5","","1.7","","1.92","","1.79","","1.36","","","","","",
"Eritrea","ERI","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","0.4","","","0.37","","0.56","","0.36","","0.8","","1.9","","2.53","","2.54","","2.49","","3.33","","2","","","","","",
"Spain","ESP","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.89","","","0.84","","0.73","","0.83","","1.21","","1.15","","1.23","","1.56","","1.75","","1.63","","1.26","","","","","",
"Estonia","EST","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.33","","","0.45","","0.6","","0.58","","0.94","","1.23","","1.18","","1.54","","1.76","","1.46","","1.14","","","","","",
"Ethiopia","ETH","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","0.26","","","0.32","","","0.36","","0.46","","0.52","","0.6","","0.93","","0.92","","0.91","","1.05","","0.99","","0.75","","","","","",
"European Union","EUU","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.865","","","0.78","","0.76","","0.84","","1.21","","1.32","","1.38","","1.67","","1.91","","1.77","","1.32","","","","","",
"Fragile and conflict affected situations","FCS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.555","","0.525","","0.835","","0.96","","1.1","","1.15","","1.25","","1.21","","0.9","","","","","",
"Finland","FIN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","","1.17","","1.06","","1.12","","1.54","","1.55","","1.57","","1.94","","2.08","","1.89","","1.45","","","","","",
"Fiji","FJI","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","","0.91","","1.07","","1.15","","","","1.41","","1.34","","0.82","","","","","",
"France","FRA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17","","","1.11","","0.99","","1.05","","1.42","","1.48","","1.52","","1.98","","1.91","","1.79","","1.39","","","","","",
"Faroe Islands","FRO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.18","1.16","","","","","","0.63","","0.53","","0.69","","0.9","","0.64","","1.14","","","","1.04","","1.02","","0.92","","","","","",
"United Kingdom","GBR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.92","","","1.11","","1.17","","1.18","","1.56","","1.63","","1.44","","1.92","","2.17","","1.92","","1.46","","","","","",
"Georgia","GEO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","","","","0.48","","0.73","","0.86","","1.09","","1.13","","1.34","","1.24","","0.76","","","","","",
"Ghana","GHA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.53","0.53","","","0.38","","","0.32","","0.2","","0.28","","0.49","","0.86","","0.9","","0.82","","0.92","","1.06","","0.92","","","","","",
"Gibraltar","GIB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.67","0.61","","","","","","0.68","","0.85","","0.66","","0.75","","0.79","","1.02","","0.95","","1.34","","1.45","","0.9","","","","","",
"Gambia, The","GMB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","0.67","","","","","","0.83","","0.64","","0.46","","0.75","","1.08","","0.79","","","","","","1.37","","1.18","","","","","",
