"Data Source","World Development Indicators",
"Guinea-Bissau","GNB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.88","","","0.65","","0.72","","0.78","","1.14","","1.16","","1.23","","2.05","","2.06","","1.98","","1.54","","","","","",
"Grenada","GRD","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","","0.54","","0.54","","0.73","","0.89","","1.28","","1.02","","1.4","","","","1.12","","","","","",
"Greenland","GRL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","0.39","","","0.41","","0.53","","0.48","","0.68","","0.78","","0.86","","0.95","","1.14","","1.01","","0.79","","","","","",
"Guam","GUM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","0.37","","0.31","","0.74","","","","0.84","","0.93","","1.08","","1.15","","0.9","","","","","",
"High income","HIC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72","","0.76","","0.83","","1.155","","1.27","","1.27","","1.6","","1.84","","1.665","","1.24","","","","","",
"Hong Kong SAR, China","HKG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.82","","","","1.19","","","1.36","","1.46","","1.47","","1.54","","1.69","","1.95","","1.92","","2.16","","2.06","","1.86","","","","","",
"Honduras","HND","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","","0.35","","","0.5","","0.62","","0.63","","0.81","","0.89","","0.8","","1.04","","1.25","","1.2","","0.98","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","0.69","","","0.6","","","0.59","","0.675","","0.66","","0.88","","1.06","","1.13","","1.2","","1.28","","1.29","","0.96","","","","","",
"Croatia","HRV","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","","","0.67","","0.76","","0.89","","1.24","","1.34","","1.27","","1.59","","1.77","","1.66","","1.26","","","","","",
"Haiti","HTI","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","","0.64","","0.54","","0.88","","","","1.16","","","","1.25","","1.16","","0.81","","","","","",
"Hungary","HUN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.74","","","0.72","","0.81","","0.94","","1.3","","1.3","","1.27","","1.67","","1.84","","1.58","","1.18","","","","","",
"IBRD only","IBD","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","0.42","","0.53","","0.49","","0.67","","0.825","","0.91","","1.095","","1.29","","1.17","","0.83","","","","","",
"IDA & IBRD total","IBT","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.555","","0.53","","0.73","","0.89","","1.03","","1.12","","1.295","","1.24","","0.92","","","","","",
"IDA total","IDA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51","","0.58","","0.55","","0.8","","0.98","","1.115","","1.155","","1.32","","1.305","","0.95","","","","","",
"IDA blend","IDB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","0.535","","0.53","","0.8","","0.98","","1.175","","1.235","","1.37","","1.225","","1.02","","","","","",
"Indonesia","IDN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","","","","0.44","","","0.16","","0.17","","0.27","","0.27","","0.57","","0.5","","0.79","","0.47","","0.93","","0.63","","","","","",
"IDA only","IDX","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","","0.62","","0.57","","0.8","","0.98","","1.075","","1.15","","1.31","","1.33","","0.93","","","","","",
"Isle of Man","IMN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","","0.48","","","0.56","","0.6","","0.66","","0.87","","1.01","","1.09","","1.15","","1.25","","1.1","","0.97","","","","","",
"Not classified","INX","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","","","1.02","","0.72","","0.9","","1.29","","1.34","","1.56","","1.78","","2.02","","1.92","","1.37","","","","","",
"Iran, Islamic Rep.","IRN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08","","0.05","","0.07","","0.09","","0.09","","0.1","","0.097","","0.33","","0.374","","0.399","","","","","",
"Iraq","IRQ","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.78","","","","0.43","","0.61","","","","","",
"Iceland","ISL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","","1.05","","1.16","","1.64","","1.86","","1.15","","1.71","","1.99","","1.85","","1.69","","","","","",
"Israel","ISR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","","","0.86","","1.14","","0.9","","1.05","","1.47","","1.37","","1.85","","2.01","","1.88","","1.57","","","","","",
"Italy","ITA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.18","","","1.19","","0.97","","1.05","","1.53","","1.56","","1.57","","1.87","","2.28","","2.14","","1.61","","","","","",
"Jamaica","JAM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37","","0.62","","0.52","","0.63","","0.82","","0.74","","0.98","","1.2","","1.14","","1.11","","","","","",
"Jordan","JOR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","0.42","","0.45","","0.52","","0.61","","0.86","","0.61","","1.04","","1.44","","1.27","","1.1","","","","","",
"Japan","JPN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25","","","1.02","","1.06","","0.91","","1.26","","1.09","","1.42","","1.6","","2","","1.38","","1.06","","","","","",
"Kazakhstan","KAZ","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","0.3","","0.36","","0.35","","0.52","","0.7","","0.83","","0.71","","1.01","","0.81","","0.42","","","","","",
"Kenya","KEN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.53","0.4","","","0.56","","","0.7","","0.71","","0.7","","0.92","","1.12","","1.2","","1.33","","1.37","","1.21","","0.95","","","","","",
"Kyrgyz Republic","KGZ","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.44","","0.39","","0.48","","0.64","","0.8","","0.85","","0.89","","0.94","","0.56","","","","","",
"Cambodia","KHM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.61","","0.63","","0.79","","1.01","","0.94","","1.15","","1.35","","1.34","","0.9","","","","","",
"Kiribati","KIR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","","","","0.79","","","0.93","","0.92","","1.09","","1.35","","1.65","","1.51","","1.52","","1.8","","1.55","","1.22","","","","","",
"Kuwait","KWT","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.17","","0.21","","0.2","","0.24","","0.22","","0.24","","0.23","","0.23","","0.22","","0.35","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.485","","0.62","","0.55","","0.705","","0.89","","0.865","","1.04","","1.27","","1.19","","0.945","","","","","",
"Lao PDR","LAO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","0.41","","0.36","","0.54","","0.86","","0.92","","1.26","","1.33","","1.4","","0.93","","","","","",
"Lebanon","LBN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","0.53","","0.65","","0.71","","0.74","","0.76","","1.13","","1.11","","0.96","","0.74","","","","","",
"Liberia","LBR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","","0.79","","0.77","","0.98","","1.17","","0.91","","0.8","","","","","",
"Libya","LBY","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","","0.25","","0.1","","0.09","","0.12","","0.14","","0.17","","0.12","","","","0.11","","","","","",
"St. Lucia","LCA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","","","","",
"Latin America & Caribbean","LCN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.62","","0.545","","0.705","","0.915","","0.89","","1.065","","1.28","","1.2","","0.92","","","","","",
"Least developed countries: UN classification","LDC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71","0.715","","","","","","0.57","","0.64","","0.605","","0.8","","1.01","","1.13","","1.18","","1.34","","1.34","","0.97","","","","","",
"Low income","LIC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.735","0.71","","","0.65","","","0.645","","0.68","","0.57","","0.88","","1.095","","1.175","","1.28","","1.375","","1.37","","0.95","","","","","",
"Liechtenstein","LIE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85","","0.81","","0.89","","1.29","","1.27","","1.3","","1.66","","1.88","","1.74","","","","","","","",
"Sri Lanka","LKA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.75","","","","0.75","","","0.84","","0.66","","0.54","","0.72","","0.88","","1.43","","1.19","","1.29","","1.27","","0.88","","","","","",
"Lower middle income","LMC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.53","","0.52","","0.69","","0.86","","0.94","","1.08","","1.25","","1.165","","0.91","","","","","",
"Low & middle income","LMY","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.55","","0.54","","0.74","","0.89","","1.03","","1.11","","1.29","","1.225","","0.92","","","","","",
"Lesotho","LSO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39","","0.5","","","","0.73","","0.89","","0.79","","0.97","","1.24","","1.03","","0.7","","","","","",
"Late-demographic dividend","LTE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.54","","0.5","","0.725","","0.92","","1.085","","1.2","","1.38","","1.27","","0.88","","","","","",
"Lithuania","LTU","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","","0.51","","0.66","","0.69","","1.03","","1.08","","1.13","","1.59","","1.83","","1.57","","1.16","","","","","",
"Luxembourg","LUX","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","","","0.78","","0.75","","0.76","","1.19","","1.29","","1.4","","1.55","","1.64","","1.52","","1.19","","","","","",
"Latvia","LVA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","","0.55","","0.67","","0.7","","0.94","","1.2","","1.12","","1.48","","1.8","","1.48","","1.16","","","","","",
"Macao SAR, China","MAC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.82","0.75","","","0.94","","","0.79","","0.82","","0.87","","1.1","","1.22","","1.29","","1.23","","1.42","","1.38","","0.99","","","","","",
"Monaco","MCO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.64","","1.92","","2.23","","2","","","","","","","",
"Moldova","MDA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","1.21","","1.42","","1.21","","0.8","","","","","",
"Madagascar","MDG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","0.54","","","0.47","","","0.47","","0.76","","1.08","","1.05","","1.15","","1.55","","1.52","","1.49","","1.35","","1.11","","","","","",
"Maldives","MDV","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","","1.1","","1.63","","","","","","","",
"Middle East & North Africa","MEA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","0.29","","0.29","","0.31","","0.32","","0.45","","0.48","","0.525","","0.83","","0.55","","","","","",
"Mexico","MEX","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39","","","0.32","","","0.36","","0.61","","0.62","","0.59","","0.74","","0.74","","0.81","","0.86","","1.03","","0.73","","","","","",
"Marshall Islands","MHL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44","","","","","","","",
"Middle income","MIC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","0.53","","0.52","","0.7","","0.86","","0.96","","1.09","","1.29","","1.21","","0.91","","","","","",
"North Macedonia","MKD","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.93","","","0.7","","0.76","","0.85","","1.17","","1.23","","1.15","","1.52","","1.75","","1.49","","1.11","","","","","",
"Mali","MLI","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","1.14","","","0.82","","","0.77","","0.7","","0.69","","1.16","","1.22","","1.3","","1.42","","1.41","","1.47","","1.12","","","","","",
"Malta","MLT","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.77","","0.81","","0.87","","1.18","","1.38","","1.66","","1.63","","1.92","","1.8","","1.36","","","","","",
"Myanmar","MMR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13","","0.33","","0.36","","0.12","","0.66","","0.43","","0.8","","1.04","","1.14","","0.54","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","0.44","","0.29","","0.46","","0.6","","0.61","","0.94","","0.86","","0.895","","0.735","","","","","",
"Montenegro","MNE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","","","0.61","","0.56","","0.74","","1.2","","1.51","","1.27","","1.62","","1.82","","1.6","","1.16","","","","","",
"Mongolia","MNG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","","0.38","","0.38","","0.61","","0.88","","1.38","","1.11","","1.29","","1.01","","0.72","","","","","",
"Northern Mariana Islands","MNP","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.74","0.48","","","0.53","","","0.55","","0.56","","0.46","","0.88","","1.15","","1.71","","1.11","","1.58","","1.55","","0.65","","","","","",
"Mauritania","MRT","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","0.85","","","","","","0.59","","0.67","","0.63","","0.8","","0.97","","1.49","","1.16","","1.43","","1.53","","1.13","","","","","",
"Mauritius","MUS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55","","1.65","","1.65","","1.12","","","","","",
"Malawi","MWI","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64","0.71","","","0.65","","","0.51","","0.69","","0.66","","0.95","","1.17","","1.78","","1.71","","1.93","","1.78","","1.15","","","","","",
"Malaysia","MYS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","0.42","","","0.28","","0.28","","0.35","","0.37","","0.53","","0.53","","0.59","","0.62","","0.68","","0.45","","","","","",
"North America","NAC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.395","","","0.395","","","0.365","","0.525","","0.455","","0.61","","0.735","","0.66","","0.985","","1.145","","0.965","","0.76","","","","","",
"Namibia","NAM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","0.42","","","","","","0.38","","0.47","","0.45","","0.68","","0.87","","0.78","","1.06","","1.24","","1.08","","0.76","","","","","",
"New Caledonia","NCL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.94","0.92","","","0.79","","","0.76","","0.68","","0.77","","1.02","","1.14","","0.99","","1.07","","1.12","","1.09","","0.88","","","","","",
"Nigeria","NGA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.02","","","0.13","","","0.13","","0.27","","0.2","","0.39","","0.51","","0.59","","0.44","","0.62","","0.56","","0.46","","","","","",
"Nicaragua","NIC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69","","","0.62","","","0.47","","0.62","","0.54","","0.69","","0.67","","0.87","","1.09","","1.23","","1.18","","0.91","","","","","",
