"Data Source","World Development Indicators",
"Netherlands","NLD","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.21","","","1.14","","1.03","","1.12","","1.62","","1.7","","1.68","","2.13","","2.33","","2.15","","1.68","","","","","",
"Norway","NOR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33","","","1.21","","1.19","","1.23","","1.61","","1.8","","1.63","","2.12","","2.53","","2.27","","1.78","","","","","",
"Nepal","NPL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.65","","","","0.52","","","0.59","","0.63","","0.66","","0.72","","0.94","","1.13","","1.18","","1.44","","1.31","","0.91","","","","","",
"Nauru","NRU","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","",
"New Zealand","NZL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.61","","","0.64","","0.48","","0.55","","0.77","","0.98","","1.09","","1.47","","1.77","","1.71","","1.4","","","","","",
"OECD members","OED","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.845","","","0.84","","0.77","","0.865","","1.235","","1.3","","1.37","","1.67","","1.895","","1.725","","1.32","","","","","",
"Oman","OMN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","0.31","","0.31","","0.31","","0.31","","0.31","","0.31","","0.31","","0.31","","0.45","","","","","",
"Other small states","OSS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","","0.56","","","","0.76","","0.89","","0.91","","1.24","","1.3","","1.37","","1.02","","","","","",
"Pakistan","PAK","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","","","0.46","","0.53","","0.52","","0.62","","1.01","","0.84","","0.86","","1.14","","0.94","","0.79","","","","","",
"Panama","PAN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","","","","0.41","","0.53","","0.51","","0.54","","0.7","","0.67","","0.85","","1.05","","0.96","","0.74","","","","","",
"Peru","PER","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","0.68","","","0.55","","0.8","","0.74","","1.12","","1.22","","1.42","","1.41","","1.63","","1.46","","0.99","","","","","",
"Philippines","PHL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","0.34","","","0.34","","0.37","","0.35","","0.52","","0.76","","0.91","","1.05","","1.25","","1.05","","0.86","","","","","",
"Palau","PLW","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","0.53","","","","0.94","","","","0.94","","","","","","1.36","","","","","","","",
"Poland","POL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","","","0.54","","0.76","","0.83","","1.2","","1.3","","1.43","","1.57","","1.74","","1.42","","1.07","","","","","",
"Pre-demographic dividend","PRE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71","0.7","","","0.625","","","0.635","","0.68","","0.665","","0.92","","1.12","","1.22","","1.275","","1.39","","1.35","","0.97","","","","","",
"Puerto Rico","PRI","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","","0.55","","0.55","","0.78","","0.71","","0.76","","","","","","0.94","","0.58","","","","","",
"Portugal","PRT","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02","","0.77","","0.97","","1.38","","1.56","","1.61","","1.85","","2.15","","1.89","","1.54","","","","","",
"Paraguay","PRY","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","0.44","","","0.47","","0.72","","0.56","","0.62","","0.97","","1.17","","1.28","","1.74","","1.59","","1.04","","","","","",
"West Bank and Gaza","PSE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","","1.08","","0.99","","1.17","","1.29","","1.34","","1.71","","1.87","","1.77","","1.54","","","","","",
"Pacific island small states","PSS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Post-demographic dividend","PST","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.905","","","0.775","","0.795","","0.88","","1.21","","1.3","","1.37","","1.63","","1.86","","1.69","","1.29","","","","","",
"French Polynesia","PYF","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.49","","1.58","","1.7","","","","","","","","","","","",
"Qatar","QAT","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16","","","","","","0.21","","0.19","","0.22","","0.19","","0.27","","0.23","","0.4","","","","","",
"Romania","ROU","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","","","0.53","","0.46","","0.64","","0.96","","1.26","","1.11","","1.46","","1.7","","1.59","","1.16","","","","","",
"Russian Federation","RUS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","","0.28","","0.33","","0.35","","0.55","","0.77","","0.89","","0.84","","0.99","","0.81","","0.59","","","","","",
"Rwanda","RWA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81","0.93","","","","","","0.72","","0.89","","0.84","","0.98","","1.11","","1.37","","1.63","","1.73","","1.41","","1.17","","","","","",
"South Asia","SAS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","","","0.575","","0.59","","0.53","","0.72","","0.91","","1.09","","1.12","","1.22","","1.185","","0.91","","","","","",
"Saudi Arabia","SAU","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16","","","0.16","","0.24","","0.24","","0.24","","0.16","","0.16","","0.16","","0.16","","0.16","","0.24","","","","","",
"Sudan","SDN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","0.58","","","0.5","","","0.33","","0.28","","0.3","","0.47","","0.72","","0.65","","0.62","","0.63","","0.82","","0.95","","","","","",
"Senegal","SEN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.19","1.23","","","0.94","","","0.71","","0.73","","0.75","","1.1","","1.31","","1.35","","1.57","","1.72","","1.7","","1.14","","","","","",
"Singapore","SGP","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.61","","","","0.85","","","0.72","","0.84","","0.85","","0.89","","0.92","","1.07","","1.42","","1.68","","1.58","","1.25","","","","","",
"Solomon Islands","SLB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sierra Leone","SLE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45","0.49","","","","","","0.61","","","","0.51","","0.76","","0.98","","0.91","","0.94","","1.05","","1.04","","1.08","","","","","",
"El Salvador","SLV","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","","0.67","","0.46","","0.65","","0.82","","0.78","","0.92","","1.26","","1.12","","0.83","","","","","",
"San Marino","SMR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","","1.36","","0.74","","1.12","","","","","","","","1.41","","","","","",
"Serbia","SRB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","","","0.61","","0.56","","0.74","","1","","1.45","","1.29","","1.5","","1.78","","1.55","","1.16","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.62","","","0.56","","","0.59","","0.615","","0.66","","0.88","","1.035","","1.14","","1.245","","1.355","","1.32","","0.95","","","","","",
"South Sudan","SSD","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.76","","1.59","","1.5","","1.97","","1.98","","0.28","","","","","",
"Sub-Saharan Africa","SSF","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.62","","","0.56","","","0.59","","0.615","","0.66","","0.88","","1.035","","1.14","","1.245","","1.355","","1.32","","0.95","","","","","",
"Small states","SST","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.745","","","","0.91","","1.08","","1.4","","1.32","","1","","","","","",
"Sao Tome and Principe","STP","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suriname","SUR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","0.56","","0.56","","0.5","","0.94","","0.91","","1.14","","1.57","","1.29","","","","","","","",
"Slovak Republic","SVK","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.66","","","0.61","","0.69","","0.74","","1.17","","1.35","","1.57","","1.7","","1.98","","1.77","","1.32","","","","","",
"Slovenia","SVN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","","","0.66","","0.63","","0.76","","1.12","","1.23","","1.18","","1.67","","1.86","","1.78","","1.32","","","","","",
"Sweden","SWE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17","","","1.09","","0.94","","1.06","","1.51","","1.46","","1.38","","1.87","","2.1","","1.82","","1.42","","","","","",
"Eswatini","SWZ","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","0.43","","","","","","0.37","","0.47","","","","0.76","","0.8","","0.86","","1.07","","1.3","","1.14","","0.77","","","","","",
"Sint Maarten (Dutch part)","SXM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Syrian Arab Republic","SYR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45","","0.44","","0.53","","0.46","","0.6","","0.85","","0.96","","0.79","","0.83","","","","","","","",
"Turks and Caicos Islands","TCA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05","1.02","","","0.8","","","0.7","","0.68","","0.79","","1.17","","1.31","","1.3","","1.32","","0.95","","0.9","","0.78","","","","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.305","","","","","","0.54","","0.73","","0.92","","1.11","","1.31","","1.17","","0.84","","","","","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.555","","","0.51","","0.55","","0.57","","0.825","","1.005","","1.13","","1.21","","1.45","","1.32","","1.03","","","","","",
"Togo","TGO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81","0.72","","","0.47","","","0.42","","0.48","","0.56","","0.85","","1.03","","0.89","","1.18","","1.16","","1.25","","0.71","","","","","",
"Thailand","THA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36","","","","0.34","","","0.3","","0.39","","0.36","","0.54","","0.7","","0.87","","1.41","","1.56","","1.29","","0.71","","","","","",
"Tajikistan","TJK","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","0.45","","0.36","","0.67","","0.8","","1.03","","1.02","","1.45","","1.32","","0.71","","","","","",
"Turkmenistan","TKM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","","0.02","","0.02","","0.02","","0.02","","0.22","","0.22","","0.22","","0.22","","0.29","","","","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","0.47","","0.62","","0.54","","0.685","","0.89","","0.865","","1.03","","1.27","","1.19","","0.945","","","","","",
"Timor-Leste","TLS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.65","","0.98","","1.22","","1.4","","1.65","","1.17","","1.1","","","","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.33","","0.355","","0.255","","0.39","","0.46","","0.55","","0.86","","0.79","","0.88","","0.73","","","","","",
"Tonga","TON","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Asia (IDA & IBRD)","TSA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","","","0.575","","0.59","","0.53","","0.72","","0.91","","1.09","","1.12","","1.22","","1.185","","0.91","","","","","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.62","","","0.56","","","0.59","","0.615","","0.66","","0.88","","1.035","","1.14","","1.245","","1.355","","1.32","","0.95","","","","","",
"Trinidad and Tobago","TTO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.39","","0.39","","0.4","","0.35","","0.43","","0.36","","","","","","","","0.54","","","","","",
"Tunisia","TUN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.58","0.52","","","0.64","","","0.6","","0.49","","0.29","","0.68","","0.83","","0.96","","0.94","","0.93","","0.91","","0.73","","","","","",
"Turkey","TUR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","0.78","","0.88","","1.02","","1.44","","1.88","","1.87","","2.52","","2.54","","2.06","","1.42","","","","","",
"Tuvalu","TUV","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzania","TZA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.42","0.43","","","0.56","","","0.63","","0.75","","0.67","","0.93","","1.04","","1.11","","1.22","","1.31","","1.29","","0.87","","","","","",
"Uganda","UGA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69","0.79","","","0.98","","","0.86","","0.86","","0.83","","1.02","","1.17","","1.3","","1.42","","","","1.4","","0.94","","","","","",
"Ukraine","UKR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.37","","0.47","","0.55","","0.81","","0.88","","1.01","","1.35","","1.17","","0.83","","","","","",
"Upper middle income","UMC","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.445","","0.53","","0.53","","0.71","","0.865","","1.04","","1.13","","1.385","","1.27","","0.91","","","","","",
"Uruguay","URY","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.89","","","0.9","","1.19","","0.46","","1.13","","1.23","","1.18","","1.49","","1.97","","1.8","","1.5","","","","","",
"United States","USA","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","0.34","","","0.32","","0.47","","0.4","","0.54","","0.63","","0.56","","0.76","","0.97","","0.76","","0.71","","","","","",
"Uzbekistan","UZB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","0.11","","0.14","","0.38","","0.35","","0.85","","1.35","","0.92","","1.02","","1.02","","1.03","","","","","",
"St. Vincent and the Grenadines","VCT","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","0.14","","0.12","","0.05","","0.04","","0.03","","0.02","","0.023","","0.023","","0.015","","8E-05","","","","","",
"British Virgin Islands","VGB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","","0.35","","0.38","","0.34","","0.48","","0.67","","0.8","","0.88","","1.15","","1.04","","0.8","","","","","",
"Vanuatu","VUT","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.31","","","","","",
"World","WLD","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","","0.6","","0.58","","0.805","","0.98","","1.11","","1.22","","1.41","","1.34","","0.97","","","","","",
"Samoa","WSM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03","","","","","","0.91","","","","","",
"Kosovo","XKX","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","","","0.61","","0.56","","0.74","","1.16","","1.22","","1.1","","1.63","","1.65","","1.54","","1.11","","","","","",
"Yemen, Rep.","YEM","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","0.21","","0.21","","0.19","","0.3","","0.3","","0.35","","0.58","","0.7","","0.92","","","","","",
"South Africa","ZAF","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","","","0.51","","","0.43","","0.5","","0.43","","0.81","","0.85","","0.87","","1.19","","1.38","","1.19","","0.92","","","","","",
"Zambia","ZMB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.72","","","0.6","","","0.53","","","","0.72","","1.1","","1.31","","1.7","","1.66","","1.48","","1.68","","1.4","","","","","",
"Zimbabwe","ZWE","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","0.47","","","0.38","","","0.26","","0.85","","0.05","","0.61","","","","1.3","","1.29","","1.52","","1.56","","1.34","","","","","",
