Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,ARG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.07,0.85,0.63,0.63,0.63,0.63,0.62,0.70,0.78,0.87,0.96,1.21,1.46,1.49,1.52,1.31,1.1,1.1
Armenia,ARM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.55,0.49,0.42,0.55,0.68,0.82,0.96,1.02,1.08,1.08,1.08,1.17,1.25,1.275,1.3,1.035,0.77,0.77
Australia,AUS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.57,0.535,0.5,0.675,0.85,0.89,0.93,0.84,0.74,1.01,1.27,1.33,1.39,1.31,1.23,1.08,0.93,0.93
Austria,AUT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.82,0.83,0.84,1.08,1.32,1.32,1.32,1.35,1.37,1.50,1.63,1.72,1.81,1.705,1.6,1.4,1.2,1.2
Azerbaijan,AZE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.39,0.38,0.37,0.39,0.41,0.44,0.46,0.60,0.74,0.75,0.75,0.76,0.76,0.99,1.21,0.89,0.56,0.56
Burundi,BDI,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.01,0.80,0.58,0.81,1.04,1.12,1.2,1.295,1.39,1.41,1.43,1.45,1.47,1.50,1.53,1.37,1.21,1.21
Belgium,BEL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.96,1.00,1.04,1.27,1.5,1.565,1.63,1.565,1.5,1.685,1.87,1.98,2.09,1.995,1.9,1.665,1.43,1.43
Benin,BEN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.48,0.51,0.54,0.66,0.77,0.79,0.81,0.92,1.03,1.04,1.04,1.14,1.24,1.14,1.03,0.88,0.72,0.72
Burkina Faso,BFA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.68,0.76,0.83,1.01,1.18,1.17,1.15,1.27,1.38,1.41,1.44,1.44,1.43,1.415,1.4,1.19,0.98,0.98
Bangladesh,BGD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.46,0.49,0.52,0.56,0.59,0.69,0.79,0.98,1.17,1.13,1.09,1.12,1.15,1.225,1.3,1.21,1.12,1.12
Bulgaria,BGR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.7,0.69,0.68,0.80,0.92,0.99,1.05,1.17,1.28,1.40,1.51,1.60,1.69,1.59,1.49,1.30,1.11,1.11
Bahrain,BHR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.27,0.27,0.27,0.27,0.27,0.24,0.21,0.21,0.21,0.21,0.21,0.24,0.27,0.27,,0.43,0.43,0.43
Bosnia and Herzegovina,BIH,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.68,0.71,0.74,0.86,0.97,1.16,1.34,1.24,1.13,1.28,1.42,1.51,1.59,1.55,1.51,1.28,1.05,1.05
Belarus,BLR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.55,0.525,0.5,0.56,0.62,0.71,0.79,1.06,1.33,1.21,1.08,0.98,0.88,0.97,1.06,0.83,0.6,0.6
Bolivia,BOL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.8,0.745,0.69,0.62,0.54,0.54,0.54,0.61,0.68,0.69,0.7,0.7,0.7,0.7,0.7,0.705,0.71,0.71
Brazil,BRA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.92,0.74,0.55,0.70,0.84,1.05,1.26,1.26,1.26,1.42,1.58,1.49,1.39,1.33,1.27,1.15,1.02,1.02
Barbados,BRB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.95,0.81,0.66,0.74,0.82,0.97,1.11,1.055,1,1.125,1.25,1.25,,1.81,1.81,1.81,,0
Brunei Darussalam,BRN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.31,0.305,0.3,0.31,0.32,0.33,0.34,0.36,0.38,0.39,0.39,0.41,0.43,0.42,0.41,0.39,0.37,0.37
Bhutan,BTN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.58,0.58,,0.78,0.78,0.78,,0.91,0.91,1.00,1.08,1.14,1.19,1.12,1.04,1.01,0.98,0.98
Botswana,BWA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.42,0.42,0.41,0.54,0.66,0.72,0.78,0.83,0.88,0.91,0.93,1.08,1.23,1.15,1.06,0.89,0.71,0.71
Central African Republic,CAF,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,1,1,1.145,1.29,1.33,1.37,1.41,1.44,1.58,1.71,1.71,1.71,1.70,1.69,1.55,1.41,1.41
Canada,CAN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.58,0.55,0.51,0.60,0.68,0.76,0.84,0.80,0.76,0.99,1.21,1.27,1.32,1.25,1.17,0.99,0.81,0.81
Central Europe and the Baltics,CEB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.69,0.72,0.74,0.91,1.08,1.17,1.26,1.27,1.27,1.43,1.59,1.695,1.8,1.69,1.58,1.37,1.16,1.16
Switzerland,CHE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.78,0.84,0.89,1.09,1.29,1.28,1.27,1.285,1.3,1.48,1.66,1.77,1.88,1.81,1.74,1.60,1.45,1.45
Chile,CHL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.64,0.61,0.58,0.72,0.85,0.97,1.09,1.02,0.95,1.17,1.38,1.47,1.56,1.54,1.52,1.28,1.03,1.03
China,CHN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.4,0.41,0.42,0.45,0.48,0.59,0.69,0.84,0.99,1.05,1.11,1.24,1.37,1.27,1.17,1.07,0.96,0.96
Cote d'Ivoire,CIV,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.76,0.81,0.85,1.00,1.14,1.17,1.2,1.265,1.33,1.51,1.68,1.60,1.51,1.47,1.42,1.18,0.93,0.93
Cameroon,CMR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.56,0.62,0.68,0.82,0.95,1.05,1.14,1.14,1.14,1.17,1.2,1.2,1.1,1.17,1.24,1.14,1.03,1.03
"Congo, Dem. Rep.",COD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1,0.85,0.7,0.81,0.92,0.93,0.94,1.09,1.23,1.26,1.28,1.38,1.48,1.58,1.68,1.59,1.49,1.49
"Congo, Rep.",COG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.61,0.69,0.78,0.87,0.92,0.96,0.89,0.81,1.04,1.27,1.21,1.15,1.14,1.13,1.05,0.97,0.97
Colombia,COL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.49,0.47,0.44,0.58,0.72,0.85,0.98,1.01,1.04,1.23,1.41,1.35,1.28,1.18,1.08,0.88,0.68,0.68
Cabo Verde,CPV,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.59,0.59,,1.4,1.4,1.4,,1.84,1.84,1.84,1.84,2.07,2.3,1.93,1.56,1.29,1.02,1.02
Costa Rica,CRI,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,0.64,0.64,0.71,0.78,0.88,0.98,1.11,1.24,1.19,1.14,1.36,1.57,1.51,1.44,1.21,0.98,0.98
Caribbean small states,CSS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.56,0.56,,0.705,0.705,0.8225,0.94,0.9075,0.875,0.9475,1.02,1.02,,1.29,1.29,1.29,,0
Cuba,CUB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,0.9,0.9,0.925,0.95,1.025,1.1,1.385,1.67,1.70,1.72,1.56,1.4,1.4,1.4,1.4,,0
Cyprus,CYP,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.57,0.70,0.83,0.96,1.08,1.17,1.25,1.27,1.28,1.38,1.47,1.62,1.77,1.69,1.61,1.42,1.23,1.23
Czech Republic,CZE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.77,0.79,0.81,0.95,1.08,1.19,1.3,1.335,1.37,1.56,1.75,1.84,1.93,1.80,1.67,1.42,1.17,1.17
Germany,DEU,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.91,0.97,1.03,1.25,1.46,1.51,1.55,1.56,1.56,1.73,1.9,1.93,1.96,1.88,1.8,1.595,1.39,1.39
Denmark,DNK,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.01,1.05,1.09,1.30,1.51,1.55,1.58,1.56,1.54,1.77,2,2.01,2.02,2.02,2.01,1.78,1.55,1.55
Dominican Republic,DOM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.71,0.60,0.49,0.67,0.85,0.94,1.03,1.04,1.04,1.14,1.23,1.41,1.58,1.50,1.41,1.24,1.07,1.07
Algeria,DZA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.27,0.25,0.22,0.27,0.32,0.32,0.32,0.33,0.34,0.33,0.32,0.31,0.29,0.28,0.27,0.28,0.28,0.28
East Asia & Pacific (excluding high income),EAP,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.385,0.385,,0.54,0.54,0.63,0.71,0.8125,0.915,0.9975,1.08,1.20,1.31,1.24,1.17,1.00,0.82,0.82
Early-demographic dividend,EAR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.5225,0.515,0.570,0.625,0.7125,0.8,0.835,0.87,0.95,1.02,1.13,1.24,1.19,1.14,1.03,0.91,0.91
East Asia & Pacific,EAS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.445,0.4325,0.42,0.55,0.68,0.78,0.87,0.91,0.94,1.0725,1.205,1.2825,1.36,1.30,1.23,1.065,0.9,0.9
Europe & Central Asia (excluding high income),ECA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.55,0.52,0.49,0.5975,0.705,0.8075,0.91,1.01,1.11,1.12,1.13,1.28,1.42,1.36,1.3,1.065,0.83,0.83
Europe & Central Asia,ECS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.72,0.76,0.8,0.985,1.17,1.23,1.29,1.29,1.28,1.44,1.59,1.6975,1.805,1.7025,1.6,1.39,1.18,1.18
Ecuador,ECU,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.31,0.43,0.55,0.55,0.54,0.51,0.47,0.49,0.51,0.52,0.53,0.56,0.58,0.59,0.6,0.605,0.61,0.61
"Egypt, Arab Rep.",EGY,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.26,0.23,0.19,0.24,0.28,0.29,0.3,0.395,0.49,0.49,0.48,0.47,0.45,0.67,0.88,0.64,0.4,0.4
Euro area,EMU,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.75,0.80,0.84,1.03,1.21,1.28,1.34,1.42,1.5,1.6,1.7,1.81,1.92,1.86,1.79,1.58,1.36,1.36
Eritrea,ERI,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.56,0.46,0.36,0.58,0.8,1.4,1.9,2.215,2.53,2.54,2.54,2.52,2.49,2.91,3.33,2.665,2,2
Spain,ESP,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.73,0.78,0.83,1.02,1.21,1.18,1.15,1.19,1.23,1.40,1.56,1.66,1.75,1.69,1.63,1.45,1.26,1.26
Estonia,EST,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.6,0.59,0.58,0.76,0.94,1.09,1.23,1.21,1.18,1.36,1.54,1.65,1.76,1.61,1.46,1.30,1.14,1.14
Ethiopia,ETH,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.46,0.49,0.52,0.56,0.6,0.765,0.93,0.93,0.92,0.92,0.91,0.98,1.05,1.02,0.99,0.87,0.75,0.75
European Union,EUU,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.76,0.80,0.84,1.03,1.21,1.27,1.32,1.35,1.38,1.53,1.67,1.79,1.91,1.84,1.77,1.55,1.32,1.32
Fragile and conflict affected situations,FCS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.555,0.540,0.525,0.680,0.835,0.8975,0.96,1.03,1.1,1.125,1.15,1.20,1.25,1.23,1.21,1.055,0.9,0.9
Finland,FIN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.06,1.09,1.12,1.33,1.54,1.55,1.55,1.56,1.57,1.76,1.94,2.01,2.08,1.99,1.89,1.67,1.45,1.45
France,FRA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.99,1.02,1.05,1.24,1.42,1.45,1.48,1.50,1.52,1.75,1.98,1.95,1.91,1.85,1.79,1.59,1.39,1.39
Gabon,GAB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.61,0.69,0.795,0.9,0.77,0.64,0.89,1.14,1.14,,1.04,1.04,1.03,1.02,0.97,0.92,0.92
United Kingdom,GBR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.17,1.18,1.18,1.37,1.56,1.60,1.63,1.54,1.44,1.68,1.92,2.05,2.17,2.05,1.92,1.69,1.46,1.46
Georgia,GEO,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,0.48,0.48,0.61,0.73,0.80,0.86,0.98,1.09,1.11,1.13,1.24,1.34,1.29,1.24,1.00,0.76,0.76
Ghana,GHA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.2,0.24,0.28,0.39,0.49,0.68,0.86,0.88,0.9,0.86,0.82,0.87,0.92,0.99,1.06,0.99,0.92,0.92
Guinea,GIN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.85,0.76,0.66,0.71,0.75,0.77,0.79,0.91,1.02,0.99,0.95,1.15,1.34,1.40,1.45,1.175,0.9,0.9
"Gambia, The",GMB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.64,0.55,0.46,0.61,0.75,0.92,1.08,0.94,0.79,0.79,,,,1.37,1.37,1.28,1.18,1.18
Guinea-Bissau,GNB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Equatorial Guinea,GNQ,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Greece,GRC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.72,0.75,0.78,0.96,1.14,1.15,1.16,1.20,1.23,1.64,2.05,2.06,2.06,2.02,1.98,1.76,1.54,1.54
Grenada,GRD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.54,0.54,0.54,0.64,0.73,0.81,0.89,1.09,1.28,1.15,1.02,1.21,1.4,1.4,,1.12,1.12,1.12
Greenland,GRL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Guatemala,GTM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.51,0.48,0.58,0.68,0.73,0.78,0.82,0.86,0.91,0.95,1.05,1.14,1.08,1.01,0.90,0.79,0.79
Guam,GUM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Guyana,GUY,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.37,0.34,0.31,0.53,0.74,0.74,,0.84,0.84,0.89,0.93,1.01,1.08,1.12,1.15,1.025,0.9,0.9
High income,HIC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.76,0.80,0.83,0.9925,1.155,1.2125,1.27,1.27,1.27,1.435,1.6,1.72,1.84,1.7525,1.665,1.4525,1.24,1.24
"Hong Kong SAR, China",HKG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.46,1.47,1.47,1.51,1.54,1.62,1.69,1.82,1.95,1.94,1.92,2.04,2.16,2.11,2.06,1.96,1.86,1.86
Honduras,HND,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.63,0.63,0.72,0.81,0.85,0.89,0.845,0.8,0.92,1.04,1.15,1.25,1.225,1.2,1.09,0.98,0.98
Heavily indebted poor countries (HIPC),HPC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.675,0.6675,0.66,0.77,0.88,0.97,1.06,1.10,1.13,1.165,1.2,1.24,1.28,1.29,1.29,1.13,0.96,0.96
Croatia,HRV,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.76,0.83,0.89,1.07,1.24,1.29,1.34,1.31,1.27,1.43,1.59,1.68,1.77,1.72,1.66,1.46,1.26,1.26
Haiti,HTI,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.64,0.59,0.54,0.71,0.88,0.88,,1.16,1.16,1.16,,1.25,1.25,1.21,1.16,0.99,0.81,0.81
Hungary,HUN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.81,0.88,0.94,1.12,1.3,1.3,1.3,1.285,1.27,1.47,1.67,1.76,1.84,1.71,1.58,1.38,1.18,1.18
IBRD only,IBD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.51,0.49,0.58,0.67,0.7475,0.825,0.8675,0.91,1.0025,1.095,1.1925,1.29,1.23,1.17,1.00,0.83,0.83
IDA & IBRD total,IBT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.555,0.5425,0.53,0.63,0.73,0.81,0.89,0.96,1.03,1.08,1.12,1.2075,1.295,1.2675,1.24,1.08,0.92,0.92
IDA total,IDA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.58,0.57,0.55,0.675,0.8,0.89,0.98,1.0475,1.115,1.135,1.155,1.2375,1.32,1.3125,1.305,1.1275,0.95,0.95
IDA blend,IDB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.535,0.5325,0.53,0.665,0.8,0.89,0.98,1.0775,1.175,1.205,1.235,1.3025,1.37,1.2975,1.225,1.1225,1.02,1.02
Indonesia,IDN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.17,0.22,0.27,0.27,0.27,0.42,0.57,0.535,0.5,0.645,0.79,0.63,0.47,0.70,0.93,0.78,0.63,0.63
IDA only,IDX,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.60,0.57,0.685,0.8,0.89,0.98,1.0275,1.075,1.1125,1.15,1.23,1.31,1.32,1.33,1.13,0.93,0.93
Isle of Man,IMN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
India,IND,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.6,0.63,0.66,0.77,0.87,0.94,1.01,1.05,1.09,1.12,1.15,1.20,1.25,1.175,1.1,1.035,0.97,0.97
Not classified,INX,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,0
Ireland,IRL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.72,0.81,0.9,1.095,1.29,1.32,1.34,1.45,1.56,1.67,1.78,1.90,2.02,1.97,1.92,1.65,1.37,1.37
"Iran, Islamic Rep.",IRN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.05,0.06,0.07,0.08,0.09,0.09,0.09,0.095,0.1,0.0985,0.097,0.2135,0.33,0.352,0.374,0.387,0.399,0.399
Iraq,IRQ,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,0.78,0.78,0.78,,0.43,0.43,0.52,0.61,0.61
Iceland,ISL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.05,1.11,1.16,1.40,1.64,1.75,1.86,1.51,1.15,1.43,1.71,1.85,1.99,1.92,1.85,1.77,1.69,1.69
Israel,ISR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.14,1.02,0.9,0.975,1.05,1.26,1.47,1.42,1.37,1.61,1.85,1.93,2.01,1.95,1.88,1.73,1.57,1.57
Italy,ITA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.97,1.01,1.05,1.29,1.53,1.55,1.56,1.57,1.57,1.72,1.87,2.08,2.28,2.21,2.14,1.88,1.61,1.61
Jamaica,JAM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.57,0.52,0.58,0.63,0.73,0.82,0.78,0.74,0.86,0.98,1.09,1.2,1.17,1.14,1.13,1.11,1.11
Jordan,JOR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.45,0.49,0.52,0.57,0.61,0.74,0.86,0.74,0.61,0.83,1.04,1.24,1.44,1.36,1.27,1.185,1.1,1.1
Japan,JPN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.06,0.99,0.91,1.09,1.26,1.18,1.09,1.26,1.42,1.51,1.6,1.8,2,1.69,1.38,1.22,1.06,1.06
Kazakhstan,KAZ,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.36,0.36,0.35,0.44,0.52,0.61,0.7,0.765,0.83,0.77,0.71,0.86,1.01,0.91,0.81,0.62,0.42,0.42
Kenya,KEN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.71,0.705,0.7,0.81,0.92,1.02,1.12,1.16,1.2,1.265,1.33,1.35,1.37,1.29,1.21,1.08,0.95,0.95
Kyrgyz Republic,KGZ,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.44,0.42,0.39,0.44,0.48,0.56,0.64,0.72,0.8,0.825,0.85,0.87,0.89,0.92,0.94,0.75,0.56,0.56
Cambodia,KHM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.61,0.62,0.63,0.71,0.79,0.90,1.01,0.98,0.94,1.05,1.15,1.25,1.35,1.35,1.34,1.12,0.9,0.9
"Korea, Rep.",KOR,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.92,1.01,1.09,1.22,1.35,1.50,1.65,1.58,1.51,1.52,1.52,1.66,1.8,1.675,1.55,1.39,1.22,1.22
Kuwait,KWT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.21,0.205,0.2,0.22,0.24,0.23,0.22,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.29,0.35,0.35
Latin America & Caribbean (excluding high income),LAC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.59,0.55,0.6275,0.705,0.7975,0.89,0.8775,0.865,0.9525,1.04,1.16,1.27,1.23,1.19,1.0675,0.945,0.945
Lao PDR,LAO,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.41,0.39,0.36,0.45,0.54,0.70,0.86,0.89,0.92,1.09,1.26,1.30,1.33,1.365,1.4,1.165,0.93,0.93
Lebanon,LBN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.59,0.65,0.68,0.71,0.73,0.74,0.75,0.76,0.95,1.13,1.12,1.11,1.04,0.96,0.85,0.74,0.74
Libya,LBY,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.25,0.175,0.1,0.095,0.09,0.11,0.12,0.13,0.14,0.16,0.17,0.15,0.12,0.12,,0.11,0.11,0.11
Latin America & Caribbean,LCN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.62,0.5825,0.545,0.625,0.705,0.810,0.915,0.9025,0.89,0.9775,1.065,1.1725,1.28,1.24,1.2,1.06,0.92,0.92
Least developed countries: UN classification,LDC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.64,0.6225,0.605,0.7025,0.8,0.905,1.01,1.07,1.13,1.16,1.18,1.26,1.34,1.34,1.34,1.16,0.97,0.97
Low income,LIC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.68,0.63,0.57,0.73,0.88,0.9875,1.095,1.135,1.175,1.2275,1.28,1.3275,1.375,1.3725,1.37,1.16,0.95,0.95
Liechtenstein,LIE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.81,0.85,0.89,1.09,1.29,1.28,1.27,1.285,1.3,1.48,1.66,1.77,1.88,1.81,1.74,1.74,,0
Sri Lanka,LKA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.66,0.60,0.54,0.63,0.72,0.80,0.88,1.16,1.43,1.31,1.19,1.24,1.29,1.28,1.27,1.08,0.88,0.88
Lower middle income,LMC,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.53,0.53,0.52,0.61,0.69,0.78,0.86,0.90,0.94,1.01,1.08,1.17,1.25,1.2075,1.165,1.0375,0.91,0.91
Low & middle income,LMY,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.55,0.55,0.54,0.64,0.74,0.82,0.89,0.96,1.03,1.07,1.11,1.20,1.29,1.2575,1.225,1.0725,0.92,0.92
