Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
Armenia,NA,NA,567,573,570,547,509,524,NA
Austria,"75,957","77,258","77,178","78,107","80,604","82,622","85,014","86,854",NA
Belgium,"98,680","99,660","99,980","102,420","98,800","99,910",NA,NA,NA
Bulgaria,"1,468","1,434","1,411","1,522","1,400","1,432","1,450","1,450","1,427"
Croatia,"20,971","20,609","20,317","20,216","20,440","21,195","21,920","22,750","23,440"
Czech Republic,"46,381","47,541","46,875","47,156","48,335","50,934","52,775","54,558","56,401"
Denmark,NA,NA,NA,"46,360","47,519","48,887","50,256","51,105","51,718"
Estonia,"8,355","8,467","8,877","9,112","9,472","9,976","10,387","10,811","11,197"
Finland,"54,715","55,360","55,396","55,331","55,741","56,306","51,522","51,386","51,597"
France,"525,185","529,543","528,571","532,072","534,849","546,338","560,754","566,395","565,875"
Germany,"704,780","717,559","719,275","725,704","740,529","752,266","769,150","755,909","751,100"
Hungary,NA,"36,742","36,062","36,056","36,771","38,581","40,451","43,016","44,796"
Ireland,NA,"41,681","38,505","39,626","42,738","44,835","46,836","47,795","47,545"
Israel,NA,NA,NA,NA,NA,NA,NA,"59,602","61,196"
Italy,NA,"82,357","76,425","75,122","76,574","79,384","82,024","83,819","84,127"
Latvia,"10,914","10,697","10,970","11,252","11,991","12,735","13,055","13,992","14,248"
Lithuania,"10,014","10,149","10,196","10,344","10,859","11,134","11,687","12,136","12,483"
Lithuania,"17,408","18,433","19,796","20,787","16,028","15,953","17,229","20,515","21,481"
Netherlands,"124,073","124,335","124,011","121,059","121,228","122,887","126,020",NA,"134,585"
Norway,"43,297","43,655","44,727","44,724","44,582","45,153","45,543","46,620","46,925"
Poland,"199,303","207,601","207,634","212,168","217,671","222,106",NA,,NA
Poland,"187,979","195,864","195,642","199,818",NA,NA,NA,NA,NA
Romania,"41,228","42,867","44,571","47,322","49,662","52,173","53,694","55,268","56,899"
Russian Federation,"43,171","45,312","39,299","37,224","31,682","35,449",NA,NA,"22,778"
Slovak Republic,"1,400","1,390","1,319","1,265","2,479","2,367","2,780","2,866","2,675"
Slovenia,"17,826",NA,NA,NA,NA,"20,674","20,605","21,437",NA
Spain,"241,131","234,678","224,285","220,377","222,689","230,840","239,353","244,661","250,192"
Sweden,"76,836","77,789","77,274","77,761","79,221","80,736","82,602","83,896","84,433"
Switzerland,"60,036","60,868","62,032","63,130","64,216","65,351","66,658","67,822","68,616"
Turkey,"80,124","85,495","93,989","99,431","102,988","113,274","119,671","127,997",NA
United Kingdom,"495,917","488,882","487,052",NA,"501,511","509,709","519,728","526,423",NA
United States,"4,774,110","4,748,200","4,777,833","4,809,227","4,869,321","4,981,519","5,108,714","5,169,772","5,214,800"